,job_id,skill_abr
776,3373346816,OTHR
777,3395626440,HCPR
778,3396803783,SALE
779,3396803783,BD
780,3422104915,HCPR
781,3442372601,SALE
782,3442372601,BD
783,3487275706,SALE
784,3487275706,BD
785,3497543368,ENG
786,3497543368,IT
787,3529464114,MGMT
788,3529464114,MNFC
789,3532827942,MGMT
790,3532827942,MNFC
791,3538940637,MGMT
792,3538940637,MNFC
793,3564601168,SALE
794,3564601168,BD
795,3568598527,ENG
796,3568598527,IT
797,3580193834,SALE
798,3580193834,BD
799,3584068782,MGMT
800,3584068782,ADM
801,3584068782,LGL
802,3586162459,ENG
803,3586162459,IT
804,3587706348,PRJM
805,3587706348,IT
806,3587919328,BD
807,3587919328,SALE
808,3596450056,ENG
809,3601203087,ADM
810,3601423875,MGMT
811,3601423875,MNFC
812,3603640939,DSGN
813,3603640939,ART
814,3603640939,IT
815,3606156203,MGMT
816,3606156203,MNFC
817,3623811800,SALE
818,3623811800,BD
819,3637608593,SALE
820,3637608593,BD
821,3638837564,OTHR
822,3643209562,MGMT
823,3643209562,MNFC
824,3643371518,DSGN
825,3643371518,ART
826,3643371518,IT
827,3644109811,MGMT
828,3644109811,MNFC
829,3655655364,BD
830,3655655364,SALE
831,3666945557,HCPR
832,3668771880,SALE
833,3668771880,BD
834,3669525119,IT
835,3669562617,PRJM
836,3669562617,IT
837,3673294109,QA
838,3674000415,ACCT
839,3674000415,FIN
840,3675787336,PRDM
841,3675787336,MRKT
842,3677721266,OTHR
843,3678500518,OTHR
844,3680164564,CNSL
845,3680164564,STRA
846,3680164564,FIN
847,3680177756,SALE
848,3680177756,BD
849,3681440546,SALE
850,3681440546,BD
851,3682818140,IT
852,3682818140,FIN
853,3682818140,ANLS
854,3684010877,ADM
855,3684441939,ACCT
856,3684448047,SALE
857,3684448047,BD
858,3684455234,ADM
859,3684464103,DSGN
860,3684464103,ART
861,3684464103,IT
862,3685418185,ENG
863,3685418185,DSGN
864,3689394048,ENG
865,3689701585,MRKT
866,3689701585,PR
867,3689701585,WRT
868,3692363916,ADM
869,3692363916,LGL
870,3692363916,PR
871,3692363921,MRKT
872,3692363921,SALE
873,3692364583,DSGN
874,3692364583,ART
875,3692364583,IT
876,3693028967,IT
877,3693031616,ACCT
878,3693031616,FIN
879,3693032353,LGL
880,3693034684,IT
881,3693034691,SALE
882,3693034691,CUST
883,3693034691,BD
884,3693034850,ENG
885,3693034850,IT
886,3693035554,LGL
887,3693036941,HCPR
888,3693037054,ENG
889,3693037054,IT
890,3693037942,EDU
891,3693037942,TRNG
892,3693038067,QA
893,3693038433,IT
894,3693038606,SALE
895,3693038606,BD
896,3693038731,IT
897,3693038960,MGMT
898,3693038960,MNFC
899,3693038962,RSCH
900,3693038962,ANLS
901,3693038962,IT
902,3693038976,SALE
903,3693038976,BD
904,3693038998,FIN
905,3693039588,OTHR
906,3693039592,FIN
907,3693039592,OTHR
908,3693039821,MGMT
909,3693039821,MNFC
910,3693039908,MRKT
911,3693039908,SALE
912,3693039928,MGMT
913,3693039928,MNFC
914,3693039968,MGMT
915,3693039968,MNFC
916,3693039983,MRKT
917,3693039983,SALE
918,3693040696,HCPR
919,3693040776,CNSL
920,3693040776,IT
921,3693040776,SALE
922,3693040865,ENG
923,3693040865,IT
924,3693040868,IT
925,3693040873,MGMT
926,3693040873,MNFC
927,3693040913,OTHR
928,3693040951,IT
929,3693040988,HCPR
930,3693040996,HCPR
931,3693040997,MNFC
932,3693040997,RSCH
933,3693040997,ENG
934,3693041274,IT
935,3693041361,MGMT
936,3693041361,MNFC
937,3693041555,MRKT
938,3693041555,SALE
939,3693041637,IT
940,3693041720,OTHR
941,3693041721,MGMT
942,3693041721,MNFC
943,3693041722,MRKT
944,3693041722,PR
945,3693041722,WRT
946,3693041811,SALE
947,3693041811,BD
948,3693041818,ENG
949,3693041818,IT
950,3693041825,ENG
951,3693041825,DSGN
952,3693041825,MGMT
953,3693041833,FIN
954,3693041833,MGMT
955,3693041833,PRJM
956,3693041864,MGMT
957,3693041864,MNFC
958,3693041884,MRKT
959,3693041884,SALE
960,3693041891,HCPR
961,3693041892,FIN
962,3693041892,SALE
963,3693041894,ACCT
964,3693041894,FIN
965,3693041907,ART
966,3693041907,IT
967,3693041907,DSGN
968,3693041908,LGL
969,3693041909,IT
970,3693041909,BD
971,3693041909,QA
972,3693041910,IT
973,3693041916,OTHR
974,3693041917,ACCT
975,3693041917,FIN
976,3693041918,SALE
977,3693041918,BD
978,3693041922,HCPR
979,3693041925,MRKT
980,3693041925,ADVR
981,3693041925,ANLS
982,3693041926,OTHR
983,3693041929,BD
984,3693041929,SALE
985,3693041930,ENG
986,3693041930,IT
987,3693041933,IT
988,3693041934,ENG
989,3693041934,IT
990,3693041937,MRKT
991,3693041937,PR
992,3693041937,WRT
993,3693041945,QA
994,3693041949,IT
995,3693041955,DSGN
996,3693041955,ART
997,3693041956,SALE
998,3693041956,BD
999,3693041960,IT
1000,3693041970,ANLS
1001,3693041970,ADM
1002,3693041982,RSCH
1003,3693041982,ADM
1004,3693041982,OTHR
1005,3693041983,CUST
1006,3693041989,MGMT
1007,3693041989,MNFC
1008,3693041990,FIN
1009,3693041990,SALE
1010,3693041994,ADM
1011,3693041997,LGL
1012,3693041997,FIN
1013,3693041997,ACCT
1014,3693042696,ACCT
1015,3693042696,FIN
1016,3693042760,HR
1017,3693042761,MGMT
1018,3693042761,MNFC
1019,3693042772,OTHR
1020,3693042844,FIN
1021,3693042844,SALE
1022,3693042878,ENG
1023,3693042878,IT
1024,3693042885,MGMT
1025,3693042885,MNFC
1026,3693042889,OTHR
1027,3693042908,HCPR
1028,3693042908,MGMT
1029,3693042908,ADM
1030,3693042911,ADM
1031,3693042936,PRJM
1032,3693042936,ENG
1033,3693042936,GENB
1034,3693042937,ADM
1035,3693042938,LGL
1036,3693042942,MGMT
1037,3693042945,LGL
1038,3693042949,ACCT
1039,3693042949,FIN
1040,3693042951,CNSL
1041,3693042951,IT
1042,3693042951,ENG
1043,3693042954,FIN
1044,3693042960,ADM
1045,3693042962,PRJM
1046,3693042962,IT
1047,3693042964,BD
1048,3693042964,SALE
1049,3693042971,SALE
1050,3693042971,BD
1051,3693042971,CNSL
1052,3693042974,PRJM
1053,3693042974,STRA
1054,3693042974,MGMT
1055,3693042975,ACCT
1056,3693042977,MGMT
1057,3693042981,BD
1058,3693042981,SALE
1059,3693042983,ACCT
1060,3693042983,FIN
1061,3693042984,PRJM
1062,3693042984,IT
1063,3693042988,IT
1064,3693043308,PRJM
1065,3693043308,IT
1066,3693043359,ADM
1067,3693043469,HR
1068,3693043608,ACCT
1069,3693043608,FIN
1070,3693043623,ENG
1071,3693043623,SUPL
1072,3693043623,HR
1073,3693043626,OTHR
1074,3693043649,MGMT
1075,3693043649,MNFC
1076,3693043650,FIN
1077,3693043650,SALE
1078,3693043650,CUST
1079,3693043652,HCPR
1080,3693043655,PRCH
1081,3693043655,DSGN
1082,3693043655,STRA
1083,3693043658,MGMT
1084,3693043658,MNFC
1085,3693043664,IT
1086,3693043667,CUST
1087,3693043667,FIN
1088,3693043667,MGMT
1089,3693043669,DSGN
1090,3693043669,ART
1091,3693043669,IT
1092,3693043675,ENG
1093,3693043675,IT
1094,3693043676,ENG
1095,3693043676,IT
1096,3693043682,OTHR
1097,3693043685,SUPL
1098,3693043687,OTHR
1099,3693043688,DIST
1100,3693043688,PRDM
1101,3693043688,SUPL
1102,3693043689,IT
1103,3693043690,HR
1104,3693043692,EDU
1105,3693043695,MRKT
1106,3693043695,SALE
1107,3693043696,ENG
1108,3693043696,IT
1109,3693043697,SALE
1110,3693043697,BD
1111,3693043698,SALE
1112,3693043698,IT
1113,3693043699,SALE
1114,3693043699,BD
1115,3693043700,MGMT
1116,3693043700,IT
1117,3693043702,IT
1118,3693043705,SALE
1119,3693043705,BD
1120,3693043717,IT
1121,3693043719,HR
1122,3693043721,IT
1123,3693043722,SALE
1124,3693043722,BD
1125,3693043723,SALE
1126,3693043725,MGMT
1127,3693043725,MNFC
1128,3693043727,MRKT
1129,3693043727,PRDM
1130,3693043727,STRA
1131,3693043729,QA
1132,3693043732,EDU
1133,3693043736,ACCT
1134,3693043740,IT
1135,3693043740,FIN
1136,3693043740,ENG
1137,3693043742,IT
1138,3693043745,IT
1139,3693043746,IT
1140,3693043747,CUST
1141,3693043747,OTHR
1142,3693043747,PROD
1143,3693043750,ENG
1144,3693043750,IT
1145,3693043756,ACCT
1146,3693043756,FIN
1147,3693043757,MRKT
1148,3693043757,SALE
1149,3693043777,ADM
1150,3693043777,CUST
1151,3693043777,HR
1152,3693043806,CUST
1153,3693043812,DSGN
1154,3693043812,ART
1155,3693043812,IT
1156,3693043814,RSCH
1157,3693043814,ANLS
1158,3693043814,IT
1159,3693043815,HR
1160,3693043815,ADM
1161,3693043836,HCPR
1162,3693043839,IT
1163,3693043840,BD
1164,3693043842,IT
1165,3693043843,ENG
1166,3693043843,MNFC
1167,3693043845,BD
1168,3693043845,CUST
1169,3693043845,STRA
1170,3693043847,IT
1171,3693043848,IT
1172,3693043848,ANLS
1173,3693043848,QA
1174,3693043849,SALE
1175,3693043849,BD
1176,3693043850,DSGN
1177,3693043850,ART
1178,3693043850,IT
1179,3693043851,IT
1180,3693043852,ENG
1181,3693043852,MNFC
1182,3693043852,RSCH
1183,3693043855,MGMT
1184,3693043855,GENB
1185,3693043855,ADM
1186,3693043859,QA
1187,3693043860,MGMT
1188,3693043860,MNFC
1189,3693043870,ENG
1190,3693043870,IT
1191,3693043871,BD
1192,3693043871,SALE
1193,3693043876,HCPR
1194,3693043876,IT
1195,3693043876,ENG
1196,3693043878,IT
1197,3693043881,CNSL
1198,3693043881,ENG
1199,3693043881,IT
1200,3693043883,CNSL
1201,3693043883,ENG
1202,3693043883,IT
1203,3693043884,MGMT
1204,3693043884,SALE
1205,3693043884,MRKT
1206,3693043889,MGMT
1207,3693043889,MNFC
1208,3693043890,QA
1209,3693043890,ENG
1210,3693043892,IT
1211,3693043892,CUST
1212,3693043902,IT
